रोग,हिंदी नाम,मराठी नाम,लक्षण,निदान एवं परीक्षण,लक्षण गंभीरता,उपचार की अवधि,चिकित्सा इतिहास,वर्तमान दवाएँ,जोखिम कारक,पर्यावरणीय कारक,नींद के पैटर्न,तनाव का स्तर,शारीरिक गतिविधि का स्तर,पारिवारिक इतिहास,आहार संबंधी आदतें,एलर्जी (खाद्य/पर्यावरण),मौसमी बदलाव,आयु समूह,लिंग,व्यवसाय और जीवनशैली,सांस्कृतिक प्राथमिकताएँ,हर्बल/वैकल्पिक उपचार,आयुर्वेदिक जड़ी बूटियाँ,सूत्रीकरण,दोष,संविधान/प्रकृति,आहार और जीवनशैली संबंधी सिफारिशें,योग और भौतिक चिकित्सा,चिकित्सा हस्तक्षेप,रोकथाम,रोग का निदान,जटिलताओं,रोगी की सिफारिशें
खाँसी,भई,खोकला,"गले में खराश, छाती में जमाव","छाती का एक्स-रे, रक्त परीक्षण, थूक विश्लेषण",हल्के से मध्यम,1-2 सप्ताह,"अस्थमा, श्वसन संबंधी समस्याएं","खांसी की दवा, इन्हेलर","वायरल संक्रमण, धूम्रपान","शुष्क, ठंडी हवा, धूल भरी हवा",अनियमित नींद,उच्च तनाव,कम,"अस्थमा, श्वसन संबंधी समस्याएं","मसालेदार, तैलीय खाद्य पदार्थ","धूल, पराग","सर्दी, बरसात",सभी उम्र,सभी लिंग,"डेस्क जॉब, कम शारीरिक गतिविधि",क्षेत्र के अनुसार भिन्न होता है,"अदरक, शहद","तुलसी, अश्वगंधा","अदरक (2 ग्राम), शहद (1 छोटा चम्मच)","वात, कफ",वात-कफ,ठंडे खाद्य पदार्थों से बचें; हाइड्रेटेड रहें; गर्म तरल पदार्थों का सेवन करें।,"अनुलोम विलोम, प्राणायाम","खांसी की दवा, एंटीबायोटिक्स",उत्तेजक पदार्थों से बचें,आमतौर पर हल्का,"ब्रोंकाइटिस, निमोनिया","हाइड्रेटेड रहें, आराम करें"
मधुमेह,मधुमेह,मधुमेह,"बार-बार पेशाब आना, थकान","रक्त शर्करा परीक्षण, एचबीए १ सी परीक्षण",मध्यम से उच्च,आजीवन प्रबंधन,मधुमेह का पारिवारिक इतिहास,"इंसुलिन, मेटफॉर्मिन","मोटापा, आनुवंशिकी, आयु > 40","उच्च शर्करा, गतिहीन जीवन",खराब नींद,उच्च तनाव,कम,मधुमेह का पारिवारिक इतिहास,"उच्च चीनी, कम फाइबर","ग्लूटेन, डेयरी",सभी मौसम,30-60 वर्ष,दोनों लिंग,"गतिहीन नौकरी, कम व्यायाम",कुछ खाद्य पदार्थों से परहेज करता है,"दालचीनी, कड़वा तरबूज","जामुन, गुडमार",मेथी (३ ग्राम प्रतिदिन),"पित्त, कफ",कफ,मीठे खाद्य पदार्थों से बचें; कम जीआई वाले खाद्य पदार्थों पर ध्यान दें; नियमित व्यायाम करें।,"सूर्य नमस्कार, प्राणायाम","इंसुलिन, मौखिक दवाएं",नियमित व्यायाम,"दीर्घकालिक, प्रबंधनीय","रेटिनोपैथी, किडनी रोग","स्वस्थ आहार, व्यायाम"
उच्च रक्तचाप,उच्च रक्तचाप,उच्च रक्तदाब,"उच्च रक्तचाप, तनाव",रक्तचाप माप,उच्च,आजीवन प्रबंधन,"हृदय रोग, स्ट्रोक","बीटा-ब्लॉकर्स, मूत्रवर्धक","पारिवारिक इतिहास, मोटापा, आयु","गर्म मौसम, नमक का सेवन",खराब नींद,उच्च तनाव,मध्यम,उच्च रक्तचाप का पारिवारिक इतिहास,"कम नमक, कम वसा",कोई नहीं,गर्म मौसम,40-70 वर्ष,दोनों लिंग,"डेस्क जॉब, उच्च तनाव","कम वसा, कम सोडियम प्राथमिकताएँ","लहसुन, हिबिस्कस चाय","अश्वगंधा, अर्जुन",अश्वगंधा (5 ग्राम प्रतिदिन),"पित्त, वात",पित्त,नमक कम करें; योग और ध्यान का अभ्यास करें; मसालेदार भोजन से बचें।,"सूर्य नमस्कार, ध्यान",उच्चरक्तचापरोधी दवाएँ,नमक प्रतिबंध,दीर्घकालिक,"दिल की विफलता, स्ट्रोक","नमक सीमित करें, व्यायाम करें"
माइग्रेन,माइग्रेन,डोकेदुखी,"गंभीर सिरदर्द, मतली","सीटी स्कैन, एमआरआई, न्यूरोलॉजिकल परीक्षा",मध्यम से गंभीर,राहत के लिए ३-४ दिन,माइग्रेन का पारिवारिक इतिहास,दर्द निवारक (एनएसएआईडी),"तनाव, हार्मोनल परिवर्तन","चमकदार रोशनी, तेज़ आवाज़ें",अनियमित नींद,उच्च तनाव,मध्यम,माइग्रेन का पारिवारिक इतिहास,"मसालेदार, कैफीनयुक्त खाद्य पदार्थ",कोई नहीं,सभी मौसम,20-50 वर्ष,अधिकतर महिला,"उच्च स्क्रीन समय, कम गतिविधि",तेज़ गंध से बचाता है,"पुदीना, लैवेंडर तेल","ब्राह्मी, जटामांसी",पुदीना (पानी में 2 बूंदें),"पित्त, वात",पित्त-वात,भोजन का समय नियमित रखें; तेज रोशनी से बचें; हाइड्रेटेड रहें।,"अनुलोम विलोम, प्राणायाम","दर्द निवारक, बोटोक्स",तनाव प्रबंधन,चर,"स्ट्रोक, चिंता, अवसाद","सोएं, ट्रिगर्स से बचें"
गठिया,कातिल,भई,"जोड़ों में दर्द, सूजन","एक्स-रे, एमआरआई, रक्त परीक्षण (आरए फैक्टर)",मध्यम से गंभीर,चर,"जोड़ों का दर्द, मोटापा",दर्द निवारक (एनएसएआईडी),"आयु, जोड़ों का अत्यधिक उपयोग, आनुवंशिकी","ठंडा, नम मौसम",खराब नींद,मध्यम तनाव,कम,गठिया का पारिवारिक इतिहास,"कम वसा, कम कार्बोहाइड्रेट","पराग, धूल","सर्दी, बरसात",40+ वर्ष,दोनों लिंग,"गतिहीन जीवनशैली, कार्यालय की नौकरी","ठंड से बचता है, गर्म स्थानों को पसंद करता है","हल्दी, अदरक","अश्वगंधा, गुग्गुल","हल्दी (1/2 छोटा चम्मच), दूध (200 मिली)","वात, कफ",वात,सूजनरोधी खाद्य पदार्थों का सेवन करें; सक्रिय रहें; ठंड के संपर्क से बचें।,लचीलेपन और शक्ति के लिए योग,"एनएसएआईडी, स्टेरॉयड",वजन प्रबंधन,दीर्घकालिक,"जोड़ों की विकृति, गतिशीलता संबंधी समस्याएं","व्यायाम, जोड़ों की देखभाल"
सामान्य सर्दी,कातिल कातिल कातिल कातिल कातिल,कातिल कातिल कातिल कातिल कातिल,"बहती नाक, छींक आना, हल्का बुखार","शारीरिक परीक्षण, गले की संस्कृति",हल्के से मध्यम,7-10 दिन,कोई नहीं,"एंटीहिस्टामाइन, डिकॉन्गेस्टेंट","वायरल संक्रमण, प्रतिरक्षा कमजोरी","ठंडी हवा, वायरल संक्रमण",अनियमित नींद,मध्यम तनाव,कम,कोई नहीं,संतुलित आहार,"धूल, पराग","सर्दी, मानसून",सभी उम्र,सभी लिंग,"कार्यालय की नौकरी, कम गतिविधि",ठंडे खाद्य पदार्थों से बचें,"इचिनेसिया, अदरक की चाय","तुलसी, अदरक","तुलसी के पत्ते (5), अदरक (1 ग्राम)","कफ, वात",कफ,अच्छी तरह आराम करें; गर्म भोजन खाएं; अस्थायी रूप से डेयरी उत्पादों से बचें।,"प्राणायाम, अनुलोम विलोम","डिकंजेस्टेंट्स, आराम","अच्छी स्वच्छता, आराम",आमतौर पर हल्का,द्वितीयक संक्रमण,"जलयोजन, आराम"
अपच,पाचन की समस्या,पचन समस्या,"पेट फूलना, पेट में तकलीफ","एंडोस्कोपी, रक्त परीक्षण",हल्के से मध्यम,1-3 दिन,"खराब आहार, तनाव","एंटासिड, प्रोबायोटिक्स","अधिक खाना, तनाव","अधिक खाना, मसालेदार भोजन",खराब नींद,उच्च तनाव,मध्यम,पाचन संबंधी समस्याओं का पारिवारिक इतिहास,"मसालेदार, तैलीय खाद्य पदार्थ","डेयरी, ग्लूटेन","सर्दी, मानसून",सभी उम्र,सभी लिंग,"गतिहीन नौकरी, उच्च तनाव","भिन्न-भिन्न, प्रायः शाकाहारी","पुदीना, सौंफ़","त्रिफला, अजवाइन","अजवाइन के बीज (1 छोटा चम्मच), पानी (200 मिली)","वात, पित्त",वात-पित्त,प्रसंस्कृत खाद्य पदार्थों से बचें; कम मात्रा में भोजन करें; सक्रिय रहें।,"प्राणायाम, योगासन","एंटासिड, पीपीआई","छोटा भोजन खाएं, ट्रिगर्स से बचें",आमतौर पर हल्का,"एसिड रिफ्लक्स, जीईआरडी","भारी भोजन, तनाव से बचें"
दमा,का 100,श्वसनरोग,"घरघराहट, सांस लेने में तकलीफ","फुफ्फुसीय कार्य परीक्षण, छाती का एक्स-रे",मध्यम से गंभीर,आजीवन प्रबंधन,"एलर्जी, श्वसन संबंधी समस्याएं","इन्हेलर, स्टेरॉयड","पारिवारिक इतिहास, एलर्जी, वायु प्रदूषण","धूल, प्रदूषण",अनियमित नींद,उच्च तनाव,कम,अस्थमा का पारिवारिक इतिहास,"कम वसा, उच्च प्रोटीन","पराग, धूल","सर्दी, बरसात",कोई भी उम्र,दोनों लिंग,"गतिहीन जीवनशैली, कम गतिविधि","ठंड से बचता है, गर्म स्थानों को पसंद करता है","अदरक, नीलगिरी का तेल","अश्वगंधा, तुलसी","मुलेठी (1/2 छोटा चम्मच), शहद (1 छोटा चम्मच)","कफ, वात",कफ,ठंडे और धूल भरे वातावरण से बचें; श्वास व्यायाम का अभ्यास करें।,"प्राणायाम, कपालभाति","इन्हेलर, स्टेरॉयड",एलर्जी से बचें,दीर्घकालिक,"अस्थमा के दौरे, फेफड़ों में संक्रमण","ट्रिगर से बचें, इनहेलर का उपयोग करें"
कब्ज़,कब्ज,का 600,"कठोर मल, अनियमित मल त्याग","शारीरिक परीक्षण, कोलोनोस्कोपी, एक्स-रे",हल्के से मध्यम,2-3 दिन,"खराब आहार, व्यायाम की कमी","रेचक, फाइबर","कम फाइबर आहार, निर्जलीकरण","कम पानी का सेवन, तनाव",अनियमित नींद,उच्च तनाव,निम्न से मध्यम,कब्ज का पारिवारिक इतिहास,"उच्च फाइबर, कम वसा","डेयरी, प्रसंस्कृत खाद्य पदार्थ",सभी मौसम,सभी उम्र,दोनों लिंग,"कार्यालय की नौकरी, कम शारीरिक गतिविधि","शाकाहारी, उच्च फाइबर का सेवन","त्रिफला, एलोवेरा","त्रिफला, इसाबगोल","त्रिफला (1 छोटा चम्मच), गर्म पानी (200 मिली)",वात,वात,फाइबर का सेवन बढ़ाएं; हाइड्रेटेड रहें; नियमित आंत्र दिनचर्या का अभ्यास करें।,"पश्चिमोत्तानासन, प्राणायाम","रेचक, फाइबर की खुराक","पानी, फाइबर युक्त खाद्य पदार्थ पियें",आमतौर पर हल्का,"बवासीर, मल अवरोध",फाइबर का सेवन बढ़ाएँ
अनिद्रा,कातिल,कातिल,"सोने में कठिनाई, बेचैनी","नींद का अध्ययन, रक्त परीक्षण, प्रश्नावली",मध्यम से गंभीर,"परिवर्तनशील, 4 सप्ताह तक","चिंता, अवसाद, तनाव","नींद सहायक, मेलाटोनिन","तनाव, चिंता, अनियमित नींद","शोर, तेज रोशनी, कैफीन",खराब नींद,उच्च तनाव,कम,अनिद्रा का पारिवारिक इतिहास,"कैफीन, मसालेदार भोजन",कोई नहीं,सभी मौसम,सभी उम्र,दोनों लिंग,"कार्यालय की नौकरी, उच्च तनाव",स्क्रीन पर देर से आने से बचाता है,"वेलेरियन जड़, कैमोमाइल","अश्वगंधा, जटामांसी","ब्राह्मी (1 छोटा चम्मच), गर्म दूध (200 मिली)","वात, पित्त",वात-पित्त,नींद की दिनचर्या स्थापित करें; कैफीन से बचें; ध्यान का अभ्यास करें।,"अनुलोम विलोम, योग निद्रा","नींद सहायक, सीबीटी थेरेपी","नींद की दिनचर्या, विश्राम",यदि उपचार न किया जाए तो दीर्घकालिक,"चिंता, अवसाद","नींद की स्वच्छता, आराम"
