Symptom,Disease
Sore throat,Cough
Sore throat,Diphtheria
Sore throat,Influenza
Sore throat,Measles
Sore throat,Strep Throat
Chest Congestion,Cough
Frequent urination,Diabetes
Frequent urination,Autosomal Dominant Polycystic Kidney Disease
Frequent urination,Diabetes Mellitus Type 1 and Type 2
Frequent urination,Type 1 Diabetes
Frequent urination,Diabetes Mellitus
Frequent urination,Prostate Enlargement (Benign Prostatic Hyperplasia)
Frequent urination,Urinary Tract Infection (UTI)
Fatigue,Diabetes
Fatigue,Addison's Disease
Fatigue,Adrenal Insufficiency
Fatigue,Atherosclerosis
Fatigue,Barth Syndrome
Fatigue,Cardiomyopathy
Fatigue,Chagas Disease
Fatigue,Chronic Kidney Disease (CKD)
Fatigue,Chronic Obstructive Pulmonary Disease (COPD)
Fatigue,Coronary Artery Disease
Fatigue,Cushing's Syndrome
Fatigue,Depression
Fatigue,Diabetes Mellitus Type 1 and Type 2
Fatigue,Fibromyalgia
Fatigue,Hantavirus Pulmonary Syndrome
Fatigue,Hashimoto's Thyroiditis
Fatigue,Heart Disease
Fatigue,Heart Failure
Fatigue,Hemochromatosis
Fatigue,Hepatitis
Fatigue,Hepatitis B
Fatigue,Hepatitis C
Fatigue,Hypercholesterolemia
Fatigue,Hyperparathyroidism
Fatigue,Hypothyroidism
Fatigue,Inflammatory Bowel Disease (IBD)
Fatigue,Influenza
Fatigue,Kala-azar
Fatigue,Kidney Cancer
Fatigue,Leukemia
Fatigue,Liver Cirrhosis
Fatigue,Liver Disorders
Fatigue,Lupus
Fatigue,Lyme Disease
Fatigue,Mansonelliasis
Fatigue,Mental Stress
Fatigue,Mitochondrial Myopathy
Fatigue,Nephrotic Syndrome
Fatigue,Obesity
Fatigue,Opistorchiasis
Fatigue,Pneumoconiosis
Fatigue,Renal Hypertension
Fatigue,Rheumatoid Arthritis
Fatigue,Schistosomiasis
Fatigue,Sickle Cell Anemia
Fatigue,Sjogren's Syndrome
Fatigue,Sleep Apnea
Fatigue,Sleeping Sickness (Trypanosomiasis)
Fatigue,Thalassemia
Fatigue,Tuberculosis
Fatigue,Tularemia
Fatigue,Wilson's Disease
Fatigue,Thyroid Disorders
Fatigue,"Autoimmune Diseases (e.g., Lupus)"
Fatigue,"Cancer (Breast Cancer, Lung Cancer, Prostate Cancer, etc.)"
Fatigue,Chronic Fatigue Syndrome
Fatigue,Glomerulonephritis
Fatigue,"Hepatitis (A, B, C)"
Fatigue,Weight Loss
Fatigue,Weight Gain
Fatigue,Anemia
Fatigue,Autoimmune Hepatitis
Fatigue,Bacterial Infections
Fatigue,Cirrhosis
Fatigue,Crohn's Disease
Fatigue,Dyslipidemia
Fatigue,Hyperlipidemia
Fatigue,Multiple Myeloma
Fatigue,Polycythemia Vera
Fatigue,Stress
Fatigue,Systemic Lupus Erythematosus (SLE)
Fatigue,Viral Infections
Fatigue,Crohn’s Disease
High blood pressure,Hypertension
High blood pressure,Autosomal Dominant Polycystic Kidney Disease
High blood pressure,Cushing's Syndrome
High blood pressure,Dihydropyrimidine Dehydrogenase Deficiency
High blood pressure,Glomerulonephritis
High blood pressure,Liddle Syndrome
High blood pressure,Metabolic Syndrome
High blood pressure,Polycystic Kidney Disease
High blood pressure,Renal Hypertension
Stress,Hypertension
Stress,Nipah Virus Infection
Severe headache,Migraine
Severe headache,Naegleria Infection
Nausea,Migraine
Nausea,Acidity
Nausea,Ascariasis
Nausea,Ciguatera Poisoning
Nausea,Cryptosporidiosis
Nausea,Digestive Disorders
Nausea,Dracunculiasis
Nausea,Echinococcosis
Nausea,Fascioliasis
Nausea,Gallstones
Nausea,Giardiasis
Nausea,Hepatitis C
Nausea,Hookworm Infection
Nausea,Indigestion
Nausea,Liver Cirrhosis
Nausea,Malaria
Nausea,Meningitis
Nausea,Naegleria Infection
Nausea,Opistorchiasis
Nausea,Pancreatitis
Nausea,Peptic Ulcers
Nausea,Primary Amebic Meningoencephalitis
Nausea,Renal Hypertension
Nausea,Yellow Fever
Nausea,"Hepatitis (A, B, C)"
Nausea,Hepatitis
Nausea,Autoimmune Hepatitis
Nausea,Brain Tumors
Nausea,Gallbladder Disease
Nausea,Kidney Stones
Nausea,Myocardial Infarction (Heart Attack)
Nausea,Stomach Cancer
Nausea,Zoonotic Infections
Joint pain,Arthritis
Joint pain,Alkaptonuria
Joint pain,Barth Syndrome
Joint pain,Chikungunya
Joint pain,Dengue Fever
Joint pain,Gout
Joint pain,Hemochromatosis
Joint pain,Lupus
Joint pain,Mansonelliasis
Joint pain,Osteoarthritis
Joint pain,Pinta
Joint pain,Rheumatoid Arthritis
Joint pain,Rift Valley Fever
Joint pain,Sjogren's Syndrome
Joint pain,Zika Virus
Joint pain,"Autoimmune Diseases (e.g., Lupus)"
Joint pain,Psoriatic Arthritis
Joint pain,Systemic Lupus Erythematosus (SLE)
Swelling,Arthritis
