Symptom,Disease
Abdominal pain,Amebiasis
Abdominal pain,Ascariasis
Abdominal pain,Autoimmune Hepatitis
Abdominal pain,Cirrhosis
Abdominal pain,Clonorchiasis
Abdominal pain,Colorectal Cancer
Abdominal pain,Crohn's Disease
Abdominal pain,Crohn’s Disease
Abdominal pain,Cryptosporidiosis
Abdominal pain,Dengue Hemorrhagic Fever
Abdominal pain,Diverticulitis
Abdominal pain,Echinococcosis
Abdominal pain,Fascioliasis
Abdominal pain,Gallbladder Disease
Abdominal pain,Gallstones
Abdominal pain,Hepatitis
Abdominal pain,"Hepatitis (A, B, C)"
Abdominal pain,Hepatitis A
Abdominal pain,Hepatitis B
Abdominal pain,Hookworm Infection
Abdominal pain,Hydronephrosis
Abdominal pain,Inflammatory Bowel Disease (IBD)
Abdominal pain,Irritable Bowel Syndrome (IBS)
Abdominal pain,Liver Cancer
Abdominal pain,Mansonelliasis
Abdominal pain,Marburg Virus Disease
Abdominal pain,Neurotoxocariasis
Abdominal pain,Opistorchiasis
Abdominal pain,Pancreatic Cancer
Abdominal pain,Pancreatitis
Abdominal pain,Peptic Ulcers
Abdominal pain,Polycystic Kidney Disease
Abdominal pain,Porphyria
Abdominal pain,Schistosomiasis
Abdominal pain,Stomach Cancer
Abdominal pain,Strongyloidiasis
Abdominal pain,Toxocariasis
Abdominal pain,Trichuriasis
Abdominal pain,Ulcerative Colitis
Abdominal pain,Urinary Tract Infection (UTI)
Abdominal pain,Whipple's Disease
Abdominal pain,Worm Infections
