Symptom,Disease
Developmental delay,Asparagine Synthetase Deficiency
Developmental delay,Coffin-Lowry Syndrome
Developmental delay,Down Syndrome
Developmental delay,Dyggve-Melchior-Clausen Syndrome
Developmental delay,Fragile X Syndrome
Developmental delay,Lowe Syndrome
Developmental delay,Menkes Disease
Developmental delay,Miller-Dieker Syndrome
Developmental delay,Mowat-Wilson Syndrome
Developmental delay,Mucolipidosis
Developmental delay,Mucopolysaccharidosis
Developmental delay,Multiple Sulfatase Deficiency
Developmental delay,Niemann-Pick Disease
Developmental delay,Noonan Syndrome
Developmental delay,Pfeiffer Syndrome
Developmental delay,Phenylketonuria (PKU)
Developmental delay,Pitt-Hopkins Syndrome
Developmental delay,Prader-Willi Syndrome
