Symptom,Disease
Fatigue,Addison's Disease
Fatigue,Adrenal Insufficiency
Fatigue,Anemia
Fatigue,Atherosclerosis
Fatigue,"Autoimmune Diseases (e.g., Lupus)"
Fatigue,Autoimmune Hepatitis
Fatigue,Bacterial Infections
Fatigue,Barth Syndrome
Fatigue,"Cancer (Breast Cancer, Lung Cancer, Prostate Cancer, etc.)"
Fatigue,Cardiomyopathy
Fatigue,Chagas Disease
Fatigue,Chronic Fatigue Syndrome
Fatigue,Chronic Kidney Disease (CKD)
Fatigue,Chronic Obstructive Pulmonary Disease (COPD)
Fatigue,Cirrhosis
Fatigue,Coronary Artery Disease
Fatigue,Crohn's Disease
Fatigue,Crohn’s Disease
Fatigue,Cushing's Syndrome
Fatigue,Depression
Fatigue,Diabetes
Fatigue,Diabetes Mellitus Type 1 and Type 2
Fatigue,Dyslipidemia
Fatigue,Fibromyalgia
Fatigue,Glomerulonephritis
Fatigue,Hantavirus Pulmonary Syndrome
Fatigue,Hashimoto's Thyroiditis
Fatigue,Heart Disease
Fatigue,Heart Failure
Fatigue,Hemochromatosis
Fatigue,Hepatitis
Fatigue,"Hepatitis (A, B, C)"
Fatigue,Hepatitis B
Fatigue,Hepatitis C
Fatigue,Hypercholesterolemia
Fatigue,Hyperlipidemia
Fatigue,Hyperparathyroidism
Fatigue,Hypothyroidism
Fatigue,Inflammatory Bowel Disease (IBD)
Fatigue,Influenza
Fatigue,Kala-azar
Fatigue,Kidney Cancer
Fatigue,Leukemia
Fatigue,Liver Cirrhosis
Fatigue,Liver Disorders
Fatigue,Lupus
Fatigue,Lyme Disease
Fatigue,Mansonelliasis
Fatigue,Mental Stress
Fatigue,Mitochondrial Myopathy
Fatigue,Multiple Myeloma
Fatigue,Nephrotic Syndrome
Fatigue,Obesity
Fatigue,Opistorchiasis
Fatigue,Pneumoconiosis
Fatigue,Polycythemia Vera
Fatigue,Renal Hypertension
Fatigue,Rheumatoid Arthritis
Fatigue,Schistosomiasis
Fatigue,Sickle Cell Anemia
Fatigue,Sjogren's Syndrome
Fatigue,Sleep Apnea
Fatigue,Sleeping Sickness (Trypanosomiasis)
Fatigue,Stress
Fatigue,Systemic Lupus Erythematosus (SLE)
Fatigue,Thalassemia
Fatigue,Thyroid Disorders
Fatigue,Tuberculosis
Fatigue,Tularemia
Fatigue,Viral Infections
Fatigue,Weight Gain
Fatigue,Weight Loss
Fatigue,Wilson's Disease
