Symptom,Disease
Muscle weakness,Adrenal Insufficiency
Muscle weakness,Amyotrophic Lateral Sclerosis (ALS)
Muscle weakness,Argininemia
Muscle weakness,Atherosclerosis
Muscle weakness,Barth Syndrome
Muscle weakness,Canavan Disease
Muscle weakness,Cerebral Palsy
Muscle weakness,Duchenne Muscular Dystrophy
Muscle weakness,Kearns-Sayre Syndrome
Muscle weakness,Krabbe Disease
Muscle weakness,Leprosy
Muscle weakness,Leukodystrophy
Muscle weakness,Lipid Storage Disease
Muscle weakness,Mitochondrial Myopathy
Muscle weakness,Multiple Sclerosis
Muscle weakness,Muscular Dystrophy
Muscle weakness,Myasthenia Gravis
Muscle weakness,Neurotoxocariasis
Muscle weakness,Polio
Muscle weakness,Spondylosis
