Symptom,Disease
Pain,Alkaptonuria
Pain,Amebiasis
Pain,Angina
Pain,Aortic Aneurysm
Pain,Arthritis
Pain,Ascariasis
Pain,Asparagine Synthetase Deficiency
Pain,Asthma
Pain,Atherosclerosis
Pain,"Autoimmune Diseases (e.g., Lupus)"
Pain,Autoimmune Hepatitis
Pain,Autosomal Dominant Polycystic Kidney Disease
Pain,Back Pain
Pain,Barth Syndrome
Pain,Bladder Cancer
Pain,Brugada Syndrome
Pain,Buruli Ulcer
Pain,"Cancer (Breast Cancer, Lung Cancer, Prostate Cancer, etc.)"
Pain,Cardiomyopathy
Pain,Chikungunya
Pain,Chronic Fatigue Syndrome
Pain,Chronic Sinusitis
Pain,Ciguatera Poisoning
Pain,Cirrhosis
Pain,Clonorchiasis
Pain,Colorectal Cancer
Pain,Coronary Artery Disease
Pain,Crimean-Congo Hemorrhagic Fever
Pain,Crohn's Disease
Pain,Crohn’s Disease
Pain,Cryptosporidiosis
Pain,Cysticercosis
Pain,Cystitis
Pain,Dengue Fever
Pain,Dengue Hemorrhagic Fever
Pain,Diabetic Neuropathy
Pain,Diverticulitis
Pain,Dracunculiasis
Pain,Dyslipidemia
Pain,Ear Infections
Pain,Echinococcosis
Pain,Endometriosis
Pain,Fascioliasis
Pain,Fibromyalgia
Pain,Gallbladder Disease
Pain,Gallstones
Pain,Gastroesophageal Reflux Disease (GERD)
Pain,Glaucoma
Pain,Gout
Pain,Guinea Worm Disease
Pain,Heart Attack (Myocardial Infarction)
Pain,Heart Disease
Pain,Hemochromatosis
Pain,Hepatitis
Pain,"Hepatitis (A, B, C)"
Pain,Hepatitis A
Pain,Hepatitis B
Pain,Herpes Simplex Virus (HSV)
Pain,Hidradenitis Suppurativa
Pain,Histoplasmosis
Pain,Hookworm Infection
Pain,Hydronephrosis
Pain,Hypercholesterolemia
Pain,Hyperlipidemia
Pain,Inflammation
Pain,Inflammatory Bowel Disease (IBD)
Pain,Irritable Bowel Syndrome (IBS)
Pain,Joint Pain
Pain,Kidney Cancer
Pain,Kidney Stones
Pain,Langerhans Cell Histiocytosis
Pain,Lassa Fever
Pain,Leptospirosis
Pain,Liver Cancer
Pain,Loiasis
Pain,Lung Cancer
Pain,Lupus
Pain,Malaria
Pain,Mansonelliasis
Pain,Marburg
Pain,Marburg Virus Disease
Pain,Melioidosis
Pain,Menstrual Disorders
Pain,Multiple Myeloma
Pain,Mycetoma
Pain,Myocardial Infarction (Heart Attack)
Pain,Neurotoxocariasis
Pain,Opistorchiasis
Pain,Osteoarthritis
Pain,Osteopetrosis
Pain,Osteoporosis
Pain,Ovarian Cancer
Pain,Pancreatic Cancer
Pain,Pancreatitis
Pain,Paragonimiasis
Pain,Peptic Ulcers
Pain,Peripheral Artery Disease
Pain,Pinta
Pain,Pneumocystis Pneumonia
Pain,Pneumonia
Pain,Polycystic Kidney Disease
Pain,Porphyria
Pain,Prostate Cancer
Pain,Psoriatic Arthritis
Pain,Pulmonary Hypertension
Pain,Q Fever
Pain,Rheumatic Heart Disease
Pain,Rheumatoid Arthritis
Pain,Rift Valley Fever
Pain,Rocky Mountain Spotted Fever
Pain,Schistosomiasis
Pain,Sciatica
Pain,Scoliosis
Pain,Sickle Cell Anemia
Pain,Sinusitis
Pain,Sjogren's Syndrome
Pain,Skin Infections
Pain,Sparganosis
Pain,Spinal Cord Injury
Pain,Spondylosis
Pain,Stomach Cancer
Pain,Strongyloidiasis
Pain,Systemic Lupus Erythematosus (SLE)
Pain,Talaromycosis
Pain,Tendinitis
Pain,Testicular Cancer
Pain,Toxocariasis
Pain,Toxoplasmosis
Pain,Trichinellosis
Pain,Trichuriasis
Pain,Tuberculosis
Pain,Ulcerative Colitis
Pain,Urinary Tract Infection (UTI)
Pain,Urinary Tract Infections (UTIs)
Pain,Varicose Veins
Pain,Whipple's Disease
Pain,Worm Infections
Pain,Yaws
Pain,Zika Virus
