Symptom,Disease
Red,Acute Kidney Injury
Red,Atopic Dermatitis
Red,Chickenpox
Red,Chronic Fatigue Syndrome
Red,Chronic Kidney Disease (CKD)
Red,Conjunctivitis
Red,Contact Dermatitis
Red,Dentinogenesis Imperfecta
Red,Diabetes Mellitus
Red,Diabetic Retinopathy
Red,Eczema (Atopic Dermatitis)
Red,Gingivitis
Red,Glaucoma
Red,Gout
Red,Inflammation
Red,Kawasaki Disease
Red,Kleine-Levin Syndrome
Red,Measles
Red,Polycythemia Vera
Red,Psoriasis
Red,Rosacea
Red,Seborrheic Dermatitis
Red,Skin Allergy
Red,Skin Diseases
Red,Skin Infections
Red,"Skin Infections (Bacterial, Fungal, Viral)"
Red,Skin Rash
Red,Trachoma
Red,Yeast Infections
