Symptom,Disease
Shortness of breath,Anemia
Shortness of breath,Angina
Shortness of breath,Aortic Aneurysm
Shortness of breath,Asthma
Shortness of breath,Atherosclerosis
Shortness of breath,Cardiomyopathy
Shortness of breath,COPD (Chronic Obstructive Pulmonary Disease)
Shortness of breath,Coronary Artery Disease
Shortness of breath,Emphysema
Shortness of breath,Hantavirus Pulmonary Syndrome
Shortness of breath,Heart Attack (Myocardial Infarction)
Shortness of breath,Heart Disease
Shortness of breath,Heart Failure
Shortness of breath,Hypertension
Shortness of breath,Lung Cancer
Shortness of breath,Myocardial Infarction (Heart Attack)
Shortness of breath,Pneumoconiosis
Shortness of breath,Pneumonia
Shortness of breath,Pulmonary Hypertension
Shortness of breath,Respiratory Issues
