Symptom,Disease
Swelling,Acute Kidney Injury
Swelling,Arthritis
Swelling,Asthma
Swelling,Cardiomyopathy
Swelling,Chagas Disease
Swelling,Chromoblastomycosis
Swelling,Chronic Kidney Disease (CKD)
Swelling,Contact Dermatitis
Swelling,Fascioliasis
Swelling,Filariasis
Swelling,Glomerulonephritis
Swelling,Goiter
Swelling,Gout
Swelling,Guinea Worm Disease
Swelling,Heart Failure
Swelling,Hydronephrosis
Swelling,Inflammation
Swelling,Joint Pain
Swelling,Liver Cirrhosis
Swelling,Loiasis
Swelling,Lymphatic Filariasis
Swelling,Mycetoma
Swelling,Nephrotic Syndrome
Swelling,Osteoarthritis
Swelling,Pinta
Swelling,Psoriatic Arthritis
Swelling,Rheumatoid Arthritis
Swelling,Sickle Cell Anemia
Swelling,Skin Infections
Swelling,"Skin Infections (Bacterial, Fungal, Viral)"
Swelling,Sparganosis
Swelling,Tendinitis
Swelling,Testicular Cancer
Swelling,Trachoma
Swelling,Trichinellosis
Swelling,Tungiasis
Swelling,Yaws
Swelling,Yeast Infections
