Symptom,Disease
Swollen lymph nodes,Bubonic Plague
Swollen lymph nodes,HIV/AIDS
Swollen lymph nodes,Hodgkin's Lymphoma
Swollen lymph nodes,Hodgkin’s Lymphoma
Swollen lymph nodes,Kawasaki Disease
Swollen lymph nodes,Langerhans Cell Histiocytosis
Swollen lymph nodes,Lymphadenopathy
Swollen lymph nodes,Lymphoma
Swollen lymph nodes,Monkeypox
Swollen lymph nodes,Onchocerciasis (River Blindness)
Swollen lymph nodes,Pneumonic Plague
Swollen lymph nodes,Septicemic Plague
Swollen lymph nodes,Sleeping Sickness (Trypanosomiasis)
Swollen lymph nodes,Strep Throat
Swollen lymph nodes,Tularemia
