Symptom,Disease
Weight loss,Addison's Disease
Weight loss,"Cancer (Breast Cancer, Lung Cancer, Prostate Cancer, etc.)"
Weight loss,Celiac Disease
Weight loss,Colorectal Cancer
Weight loss,Crohn's Disease
Weight loss,Graves Disease
Weight loss,Graves' Disease
Weight loss,HIV/AIDS
Weight loss,Hodgkin’s Lymphoma
Weight loss,Hyperthyroidism
Weight loss,Inflammatory Bowel Disease (IBD)
Weight loss,Kala-azar
Weight loss,Kidney Cancer
Weight loss,Leishmaniasis
Weight loss,Leukemia
Weight loss,Liver Cancer
Weight loss,Lymphoma
Weight loss,Pancreatic Cancer
Weight loss,Paracoccidioidomycosis
Weight loss,Stomach Cancer
Weight loss,Thyroid Cancer
Weight loss,Tuberculosis
Weight loss,Type 1 Diabetes
Weight loss,Weight Loss
Weight loss,Whipple's Disease
Weight loss,Worm Infections
